Repeticion,B0,B1,H,Vh2
1,17.99454377108089,-0.06740371684927603,3.0,17.792332620533063
2,15.980610673190178,-0.06111262118329256,5.0,15.675047567273715
3,13.972996515679442,-0.06462199173486752,7.0,13.520642573535369
4,11.945669276043592,-0.06327577164390756,9.0,11.376187331248424
5,10.015550436070434,-0.06510202402501246,11.0,9.299428171795297
